quotes,authors
Money is a very important tool to make a big difference in people's life. It is positive or negative depending on the values.,Shiv Khera
Design our world so that we have positive social and environmental side effects.,Bjarke Ingels
You don't need to invade a place or install a new government to help bring about a positive change.,Nicholas Kristof
"In every relationship, the work is never just in the positive actions we do for each other, but in the follow up.",Yehuda Berg
My father... gave me a positive connection with men because he is a gentleman.,Iman
"When I started acting, I hoped I could make some kind of positive contribution to this world. When I get a letter from some kid in Nebraska saying that, prior to Han, nobody wanted to be his friend because Asians weren't cool if they weren't into martial arts - Now he's accepted and recognized as a human being. That's pretty awesome, right?",Sung Kang
"You can make positive deposits in your own economy every day by reading and listening to powerful, positive, life-changing content and by associating with encouraging and hope-building people.",Zig Ziglar
I'm a big cockeyed optimist. I try to accentuate the positive as opposed to the negative.,Betty White
"Oftentimes, when we think of 3D, we think of things coming out of the screen, but actually, you've got this zero, this negative space, what they call the negative space, which is the scene, what's being filmed in the positive space of the audience. As you can have things come out, you can have all of this depth.",Keanu Reeves
"Skeptical doesn't have to necessarily be a negative thing. I think if you allow yourself to second guess things and look at things from a distance you don't immediately run into things blindfolded, so that's a positive.",Aleister Black
"You can be experiencing the worst, most gut-wrenching grief and still laugh or feel something positive or even fall in love, and it doesn't diminish the depth and sincerity of your grief.",Jennifer Ashton
"The power of pop culture stories should not be underestimated, and there is an enormous potential for inspirational stories that can have a positive, transformative effect on our lives.",Anita Sarkeesian
Sometimes you're not even sure which of your stories were failures. There are things I've written that I thought were complete catastrophes when I finished with them that have gone on to generate some of my most positive feedback.,Len Wein
"I've been blessed to be somebody that's been climbing that success mountain top for years of hard work, you know, but now it's all connecting. And now, the whole world is watching, you know what I'm saying, and it feels good 'cause it's good energy. This is all positive vibes, and good vibes and good energy, so it feels incredible.",DJ Khaled
"Getting sober just exploded my life. Now I have a much clearer sense of myself and what I can and can't do. I am more successful than I have ever been. I feel very positive where I never did before, and I think that's all a direct result of getting sober.",Jamie Lee Curtis
It can literally change someone's life; it's very positive for young teenagers to get into cosplay if they do it with their friends or with supervision from their parents - it can really foster their social skills.,Yaya Han
"I think of myself as a positive agnostic. I don't know, therefore I'm open. I don't know, therefore I'm interested.",Grace Slick
Positive thinking is so firmly enshrined in our culture that knocking it is a little like attacking motherhood or apple pie.,Srikumar Rao
"There's a fine line between stubbornness and the positive side of that, which is dogged determination.",Jeb Bush
"Take your mind off the problems for a moment, and focus on the positive possibilities. Consider how very much you are able to do.",Ralph Marston
"The battle against cancer has made me strong. It's like winning a war! When I was diagnosed, I was told by doctors my kidney, liver and other organs could fail. It was tough. I didn't know if I could save my life. But I was positive, and because of that, the doctor told me that I would be a man who would never have cancer.",Yuvraj Singh
"Suppose you could be hooked up to a hypothetical 'experience machine' that, for the rest of your life, would stimulate your brain and give you any positive feelings you desire. Most people to whom I offer this imaginary choice refuse the machine. It is not just positive feelings we want: we want to be entitled to our positive feelings.",Martin Seligman
"I don't need to worry about what other people are talking about me. Instead, I focus on the people talking positive and all the positive things that I know I am doing.",Anthony Yarde
"I try to be a positive person, but I'm also always looking and wondering, 'Maybe this could be done differently.' As soon as your mind is in a critical mode, you're halfway through designing; as soon as you start thinking about whether something could be better, you're already halfway through a solution.",Thomas Heatherwick
This is our job as leaders: to offer positive solutions and empower people. Our duty is to tackle our problems before they tackle us.,Paul Ryan
"I've never really been aware of what is said about me, whether it's positive or negative. I ignore it. I've always had the mind-set: 'No one can challenge me better than myself.'",Troy Polamalu
"A lot of the problems I had with fame I was bringing on myself. A lot of self-loathing, a lot of woe-is-me. Now I'm learning to see the positive side of things, instead of, like, 'I can't go to Kmart. I can't take my kids to the haunted house.'",Eminem
Those at the top would do better with a smaller share of a booming economy that elicits a positive politics than they will do with an ever-larger share of an anemic economy that fuels the politics of anger.,Robert Reich
"College was especially sweet because of the positive, hopeful atmosphere of a college campus.",Jerry Kramer
"Sexy in India is not considered positive. But, with today's crop of fresh faces in the modelling arena, being sexy is an asset.",Aishwarya Rai Bachchan
"I wanted to be positive. I have good sportsmanship. You leave everything on a good note, you just smile and shake hands.",Vernon Davis
"I talk about my faith. I talk about positive things that I've dealt with that have taught me things, and I talk about negative things that I'm dealing with.",NF
"In our music, in our everyday life, there are so many negative things. Why not have something positive and stamp it with blackness?",Jamie Foxx
"I have done 'Sports Illustrated,' but I don't regret it because it portrayed me in a positive way - as an athlete.",Alex Morgan
"America needs a strong, rational, positive, practical conservative movement. It needs that bulwark against liberal delusion and hubris. It needs a voice that says we are imperfect, that life is complex, that government can create need even as it meets need, that you can't fix everything, and freedom is worth some danger and sorrow.",Jon Lovett
"For the longest time, the Asian-American community would talk about representation, but I think it's also about the freedom to really shape, create, and explore issues that are important to us, regardless of whether it's positive or negative, as long as it's three dimensional.",Justin Lin
I've always been a guy to keep positive energy on the sideline.,Baker Mayfield
"Positive and engaged brains are a company's greatest assets. More than time and even more than productivity, people must be happy.",Shawn Achor
I try to put a positive spin on things.,Krysten Ritter
It is important to recognize and politics positive thinking is often the slaves' virtue - something that people do to con themselves about the burden and change being placed upon them.,James Bovard
"I learned to forget everything. To concentrate on my music and thank God for all good moments. Because the positive attracts the positive. You must work, work and work to get the most out of it.",Anuel AA
"If I can lead a happy life, touch the lives of others in a positive way, win the respect of those that I care about - and make a few million along the way - then I have been successful.",Bill Rancic
"We see leaders in social media starting fights. I'm on the other team who likes to inspire, to leave a positive message.",Karol G
"Loneliness is such an omnipotent and painful threat to many persons that they have little conception of the positive values of solitude and even, at times, are frightened at the prospect of being alone.",Rollo May
"Positive psychology is not remotely intended to replace therapy or pharmacology. So when depressed, anxious or in panic or post-traumatic stress disorder, I am all for therapies that will work. Positive psychology is another arrow in the quiver of public policy and psychology through which we can raise wellbeing above zero.",Martin Seligman
"To delight in war is a merit in the soldier, a dangerous quality in the captain, and a positive crime in the statesman.",George Santayana
"I think it's important to keep things positive. Sometimes you don't win, and that sucks, and you work on improving.",Alex Morgan
The positive news is that the British economy is continuing to grow and is creating jobs. And it is positive news too that at a time of real international instability we are a safe haven in the storm.,George Osborne
"You can do everything you can to try to stop bad things from happening to you, but eventually things will happen, so the best prevention is a positive attitude.",Marie Osmond
"Go see 'Hidden Figures,' and take a young person! It will give a more positive outlook on what is possible if you work hard, do your best, and are prepared.",Katherine Johnson
"For my family, belief in God and in the resurrection of Jesus Christ brings such hope and promise to our lives. It strengthens our family and our marriage as we focus on Christ as our example of pure love, compassion and tolerance towards others. This positive message is one that helps us become better people each day.",Mercedes Schlapp
I do hope in Ireland children in schools can experience the richness of chess and it's positive effects.,Judit Polgar
"I come from a family of strong women, who have been positive role models for me.",Laura Harrier
"However much some journalists may criticize me, I know that I look, feel, and behave several decades younger than my actual age, and much of that is because I believe you are what you think you are. This is called positive affirmation, and it's a really strong tool.",Joan Collins
"I had many teachers that were great, positive role models and taught me to be a good person and stand up and be a good man. A lot of the principals they taught me still affect how I act sometimes and it's 30 years later.",Kevin James
"You don't read many positive things about Iran in the press, which is depressing, but when I go back to my grandparents' house in the hills, and I'm sitting by the pool, sipping a bootleg Turkish beer, watching a pirate DVD, eating my grandma's cooking... you realise there is a real bridge between politics and country and people.",Kayvan Novak
"People understand my message is positive, and at the end of the day, I'm just here to make music that I enjoy and that other people enjoy. I think that's why I have such a loyal fan base.",Lil Peep
My ultimate aim is to make euthanasia a positive experience.,Jack Kevorkian
"Nations need to understand their own strengths and weaknesses, and India's tradition of dissent and democratic debate is a positive aspect.",Rosabeth Moss Kanter
"For most Americans, Friday afternoons are filled with positive anticipation of the weekend. In Washington, it's where government officials dump stories they want to bury. Good news gets dropped on Monday so bureaucrats can talk about it all week.",John Sununu
The real metric of success isn't the size of your bank account. It's the number of lives in whom you might be able to make a positive difference.,Naveen Jain
"I am a positive person. I am not cynical. If you are born in this world, no matter who you are, negative things will happen. If you aren't positive as a person, you'll be very unhappy. It's extremely important to be positive, to laugh, to be happy, to accept life as it comes.",Bipasha Basu
You get fan mail and you see the reaction when you write someone back. It's kind of shocking. You can make someone's day and be a positive influence on the world when you're in a position like that.,Christian McCaffrey
The greatest competitive advantage in the modern economy is a positive and engaged brain.,Shawn Achor
"Some people hate lime-green; red has all this emotional baggage. Blue seems to be overall one of the more positive colors, and a little more serious than yellow.",David Carson
"I never think of yesterday. Can't do anything about it. I'm a positive guy. When you really deep down look at it, we go to bed every night, get up every morning, stay here for 70 or 80 years, and then we die.",Lee Trevino
I know that I came into the world with what I call 'big dharma' - with a blueprint to teach self-reliance and a positive loving approach to large numbers of people all over the globe. I am ever so grateful for the circumstances of my life that allowed me to be pretty much left alone and to develop as I was so intended in this incarnation.,Wayne Dyer
"I have often been struck by the fact that most parents who are experiencing positive and rewarding relationships with their pre-adolescent children are, nevertheless, waiting apprehensively and bracing themselves for the stormy adolescent period.",Albert Bandura
All of us profit from being corrected - if we're corrected in a positive way.,Sam Walton
A positive impact stems from our admission that we were wrong or our thinking was wrong. 'I'm wrong' are two little words that can help improve our own positive attitude.,Richard M. DeVos
I think sport can play a really positive role in young girls' lives and be great to see as many of them playing sport as possible.,Ellyse Perry
To see the positive reaction to my music makes me feel good.,Cardi B
"I find the positive in the negative all the time. Any time you give something power, it wins, and it can continuously happen, so I just let negative people know they have no place in my life. They have no place around my children.",Monica
"I think if you just look at life in a positive way, positive things will happen.",Jake Owen
"For me, I just want to be a role model, put a positive impact on the kids that are watching the sport, that want to be a part of the sport, and leave a good everlasting impact on the sport, continue my legacy down the road.",Bubba Wallace
"All negative things you can turn positive, and for me, that is key.",Mauricio Pochettino
"If you stick around long enough and you do enough of the right things, you get seen in a largely positive light.",Brian O'Driscoll
"If we could get your subconscious mind to agree with your conscious mind about being happy, that's when your positive thoughts work.",Bruce Lipton
"'Do What You Gotta Do' is a positive, inspirational song that says no matter what it is; whether you're up against challenges or trying to get your dreams and aspirations met, you should do what whatever you have to do shy of killing yourself or someone else.",Angie Stone
I really believe in the power of positive thinking and the collective power of people's thoughts spawning something into becoming reality.,Finn Balor
I am positive that flexibility is a feminine characteristic.,Emma Bonino
I think what I can do is to focus more on what I'm good at and see if I can improve on these positive qualities so that I can continue on the path I'm on now.,Lee Seung-gi
"Good is positive. Evil is merely privative, not absolute: it is like cold, which is the privation of heat. All evil is so much death or nonentity. Benevolence is absolute and real. So much benevolence as a man hath, so much life hath he.",Ralph Waldo Emerson
"It's the aspirations that capitalism is promoting as beautiful, positive attributes that are dangerous. All that is in the bedrooms of the poor and in the villages of the Third World, and it's like a cruel carrot that's being waved in front of people's noses. It's a seduction, an unattainable dream.",John Hillcoat
"We want all users to be safe on Roblox, and we will continue to invest in the safety of the game so it is a positive, productive, fun, and protected space for our community.",David Baszucki
"If I see one kid dressed up like Thunder or Lightning or Black Lightning, I'll feel like I influenced the culture in a very positive way. That's the endgame for me. If this happens, my mission will be complete.",Salim Akil
"A properly balanced story provides an equal representation of the negative and positive attributes of, I could say the world, but it's actually a being. 'Harry Potter''s a good example. So Harry's the hero, right. But he's tainted with evil. There's a dark and a light in every bit of that narrative. It's well balanced.",Jordan Peterson
"To understand a word, we need to learn where it was born, what paths it took to reach where it is today, and how it has changed along the way. The word 'nice' is a positive word today, but hundreds of years ago, it meant 'stupid.'",Anu Garg
"If you have a negative thought - 'I can't stand my boss' - it perpetuates a negative worldview. But if you supplant each negative thought with three positive ones, you begin to restructure your brain.",Goldie Hawn
Based means being yourself. Not being scared of what people think about you. Not being afraid to do what you wanna do. Being positive.,Lil B
The rapid growth of prenatal testing has had some undeniably positive effects: A woman who knows she will bear a child with a handicap can plan to deliver in a hospital equipped for risky births. And many couples prefer the opportunity to prepare psychologically for the work of raising a disabled child.,Tucker Carlson
"Yes, alas, I've been on some recording sessions where the music wasn't good. Not so many, really, considering how many I've done. It's a very awkward situation because to do a recording well you focus on the positive of what will make the piece better.",Tony Levin
I want to come across as a positive person.,Greta Scacchi
"I have a very positive attitude in life. My insecurity, fear and need to know about tomorrow has fortunately eased. What is going to happen will happen anyway. So why break my head over it?",Katrina Kaif
"My advice to young wrestlers is that your surroundings really make a difference. You want to put yourself in good, positive surroundings.",Dan Gable
"We must not constantly talk about tackling obesity and warning people about the negative consequences of obesity. Instead we must be positive - positive about the fun and benefits to be had from healthy living, trying to get rid of people's excuses for being obese by tackling the issue in a positive way.",Andrew Lansley
"You have to use your pain as your gift. If you're able to take something really negative and repackage it as something positive, you've nailed it.",Julia Fox
"I try to be positive. I speak to my players about how we have to play, respect the rules. What I have done is always be positive.",Pep Guardiola
To emphasize only the beautiful seems to me to be like a mathematical system that only concerns itself with positive numbers.,Paul Klee
I am convinced after more than 50 years in the field of motivation that anyone who wants to learn to look at life and/or their circumstances in a positive light can do so.,Zig Ziglar
"When people who are close to me say that they see positive changes in me as I grow, it makes me work harder on myself. Life always surprises us with something new, and I want to be capable enough to handle it.",Harshvardhan Rane
"We achieved our mission to the moon. Let's look home from that lofty perch and reimagine our mission on Earth - that is what we need to do here. Together, we can upcycle everything. The world will be better for our positive visions and actions.",William McDonough
"My mom and grandma always told me: if you don't have anything nice to say, don't say anything at all. It's something everyone needs to be more conscious about. Putting more positive energy out into the world would be so beneficial.",Madison Keys
"I think 'Heroes of Cosplay' will show a lot of the positive things, like how much effort it takes to make a costume. These people on the show aren't taking shortcuts. As long as that effort gets through to the viewers, we will be inspirational. Then there will be people who watch the show that want to get in and hands-on make outfits.",Yaya Han
My style motto is pretty classic: you give off a positive energy when you wear what you're most comfortable in.,Petra Collins
"I had creative control over my character, which means if they wanted me to do something that I didn't agree with, then I wouldn't do it. If it was good for the show, then I had no problem. If it was demeaning to the character and wasn't adding a positive light to the show, then I can guarantee that I wouldn't do it.",Bill Goldberg
"I have my team. Like if you see everyone around me - I have my hair and makeup girl, my assistant. They're very calm, they're all about positive energy. There're no drama queens. Everyone wants everyone else to have a positive experience. There are no agendas. I think it creates a healthy environment and there are no boundaries to cross.",Fergie
"It is a blessing to have pretty people around me. I like people who are sparky, positive. Evil, dark people are repelled by me: 'Oooh no! Too much sunlight.'",Geri Halliwell
"USADA tested me, and I came back positive for hard work and beast-like characteristics.",Tyron Woodley
"I think as much as people moan at things like award ceremonies, it gives people role models. It provides real positive reinforcement that you can be who you are and still massively achieve.",Jack Monroe
We have a positive vision of the future founded on the belief that the gap between the promise and reality of America can one day be finally closed. We believe that.,Barbara Jordan
"I have tried to have a really good, positive attitude.",Adam Thielen
"I'm not going to fearmonger to win an election. I'm going to focus on the positive opportunities we have for a bright future for all of our families, where everyone has the freedom and opportunity to thrive.",Stacey Abrams
"I would say that engineering has been a very positive experience overall, but usually coming into the situation it would be one of being underestimated. People would actually have low expectations. But I would take advantage of it quite honestly, because I would take my time to underestimate the situation.",Lonnie Johnson
I found that being with happy positive people annoys me.,Karl Pilkington
Something I would have never thought that I could have done before is dancing in front of thousands of people. It changed how people view me in a negative and a positive way.,Charli D'Amelio
"Making someone laugh is the simplest, most basic positive human connection.",Nell Scovell
I want always to be positive.,Gianni Versace
"I have never talked publicly or privately about the Jewish people, including conversations with President Nixon, except in the most positive terms.",Billy Graham
"We, Filipinos, are really great about keeping a positive attitude and seeing the silver lining in all things. We're survivors!",Nico Santos
"Black Consciousness is an attitude of the mind and a way of life, the most positive call to emanate from the black world for a long time.",Steven Biko
"The same way that I practiced the violin, the same way that I practiced my dance moves, I decided that I was going to practice being positive and practice loving myself.",Lindsey Stirling
"The more we can lower or even eliminate the activation energy for our desired actions, the more we enhance our ability to jump-start positive change.",Shawn Achor
"We have been blessed with a healthy, growing economy, with more Americans going back to work, and with our Nation acting as a positive force for good in the world.",Jim DeMint
"I like to think my dad was easygoing and kind, and I think some of those things have been passed down. I am like him in a sense of being positive and hopeful. He was compassionate, and I've got a lot of that in me as well.",Joel Osteen
Sexism is part of every industry and must be addressed. But I try not to focus on the negative but the positive side of what we can bring.,Angelina Jolie
"I grew up in a very strong, nuclear family. My father was a sportsman. He represented South Africa in a couple of sports, so he was a very positive person and someone who encouraged you to be your best and give your best with everything that you do.",Gail Kelly
"We don't curse at Shots Studios, and we send a very positive message.",Lele Pons
"You have to figure out how you can step forward and affect your own life. I think that sense of empowerment is actually really positive, specifically for the young generation because they've been bystanders in their own lives for a while.",Jennifer Yuh Nelson
"I am very optimistic, and I always think positive, but within reason and never getting too far ahead of the game.",Luis Fonsi
I wished to go completely outside and to make a symbolic start for my enterprise of regenerating the life of humankind within the body of society and to prepare a positive future in this context.,Joseph Beuys
"Positive leadership - conveying the idea that there is always a way forward - is so important, because that is what you are here for - to figure out how to move the organization forward. Critical to doing that is reinforcing the idea that everyone is included.",Alan Mulally
"You prevent kids from joining gangs by offering after-school programs, sports, mentoring, and positive engagement with adults. You intervene with gang members by offering alternatives and employment to help redirect their lives. You deal with areas of high gang crime activity with real community policing. We know what works.",Greg Boyle
"Even failures can turn into something positive if you just keep going. I wrote a television pilot called 'Head of the Family.' CBS didn't want it. It was considered a failure. But we reworked it. A year later, it became 'The Dick Van Dyke Show.'",Carl Reiner
"President Obama took charge of the Oval Office seven years ago. He promised a positive reset in relations with Russia. But with the radioactive poisoning of a British spy in London, the downing of passenger jets over Europe, and the aggressive advances of Russian forces from Ukraine to Syria, President Putin of Russia has rebuked Mr. Obama.",John J. McLaughlin
"I launched Chefs for Humanity, a national nonprofit, with my voice, heart and money from my own pocket. Money gives you the ability to make a difference in the world and, when used in a positive way, is a lot of fun.",Cat Cora
"I been around negativity all my life. To do something positive, it's a beautiful thing.",Jay Rock
Character is the ability of a person to see a positive end of things. This is the hope that a man of character has.,Tom Landry
Always positive vibes in the Lingard camp.,Jesse Lingard
"As we see dislocation and disruption in certain parts of the country, from rural areas to my home in the industrial Midwest, and in the economy, this leads to a kind of disorientation and loss of community and identity. That void can be filled through constructive and positive things, like community involvement or family.",Pete Buttigieg
The Bible does not oppose or forbid interracial marriages but sees them as a positive good for the glory of Christ.,John Piper
"Waking up sober is a good day. I love being able to wake up and do positive things, to go to the gym.",Rodney King
"If you don't find time to meditate and get all that negative out, and if you don't have the right people being positive around you, this is a very scary job to have if you don't learn how to control your fear.",Nick Diaz
"I did my second film with Nagarjuna. First of all, he is a Virgo and all Virgo people are great. He is a very happy person who loves music, workouts and living a positive life. He is like a friend who can talk and chill with you anytime.",Shriya Saran
One has to shed one's old skin for a positive change.,Raj Thackeray
I got a lot of positive people around me.,Dave Chappelle
"So I had to be careful. I recognized the responsibility that, whether I liked it or not, I had to accept whatever the obligation was. That was to behave in a manner, to carry myself in such a professional way, as if there ever is a reflection, it's a positive one.",Sidney Poitier
"Positive culture comes from being mindful, and respecting your coworkers, and being empathetic.",Biz Stone
Take everything that's bad in your life and look at the positive within it. Don't ever see your glass as half-empty.,Slowthai
"One of the most gratifying, rewarding things is when people come up, and they tell you how the show influenced their lives in a very positive way. When I do these things like Comic Con, I get people who are lawyers, judges, plumbers, carpenters, and entire families, and it's mostly for 'Batman.' But now, amazingly, it's also for 'Family Guy.'",Adam West
"No matter how bad any situation, cynicism has no positive impact. Watching the news, you might notice that cynicism and victimhood often seem to go hand-in-hand, but not for veterans.",Jim Mattis
You can choose not to sit on the fence. You can choose not to criticise. You must stand as guard at the door of your own mind and choose to be positive.,Gail Kelly
"Trends can tyrannize; trends are traps. In any creative industry, the fact that others are moving in a certain direction is always proof positive, at least to me, that a new direction is the only direction.",George Lois
"Where educators are raising and combining their voices, the seeds of positive change have emerged. Collective voice, exercised through the union, is power - the power to drive real change for our kids, families and communities.",Randi Weingarten
"Honestly, sometimes, it takes a negative to bring about a positive.",Kirstin Maldonado
"I learnt in South America and in Africa that people who have really big problems in the ghetto always keep a sense of humour and remain positive. If not, you go down.",Manu Chao
"There was always a feeling for me that it would work. That's what keeps me going. You go in with a positive attitude and stay there, and that's a big part of what does make it work.",Shelley Long
"And I'm a believer that you take a negative and turn it into a positive, and as it turned out, it was one of the best things that ever happened to me. And so I do appreciate the Ranger staff and the Ranger organization for giving me that opportunity.",Nolan Ryan
"Is truth always positive? Of course. Once the truth comes out, you know, it's all right. We're scared that if the truth comes out that it's not all right. It's the other way around.",Yoko Ono
"Identitarianism assumes that people are condemned to identify with the positive (ethnic/ gender/ nationalistic) predicates they possess, as if their subjectivity were exhausted by those properties. Exactly the opposite is the case: the authentic dimension of subjectivity consists not in any positive identity but in that which makes identifications.",Mark Fisher
"We don't care who you is - Blood, Crip, Mexican, Chinese. You feel me? If you about doing something positive with yourself and your community, let's join forces together.",Jay Rock
"I basically have a very positive philosophy of life, because I don't feel I have anything to lose. Most things are going to turn out okay.",Hal Ashby
"At the core of 'Star Trek' is Gene Roddenberry's vision of the future. So much of science-fiction is about a dystopian society with human civilization having crumbled. He had an affirmative, shining, positive view of the future.",George Takei
I wish BTS could set up a model for k-pop with the best music and content so we have a positive impact on the U.S. music scene.,Jimin
You wish to put a positive construction on your deeds and words.,Nigel Rees
"I feel like people have stereotypes and notions about Latin America that aren't necessarily accurate or aren't particularly positive. For me, Latin America is a place that I personally really love and enjoy visiting and going to, and I wanted to be able to show it in a light that was very different to an Asian, Korean viewer.",Eric Nam
"The travel, the amazing work I have had the chance to do, the meetings with different people are all very inspiring and give me lots of positive energy.",Saskia de Brauw
"I'm not sure how to describe my style. A lot of my work is dark and looks a bit sad, which is strange because I'm such a smiley, over-the-top positive guy who wears gold shoes most days.",Aaron Huey
"There's a certain darkness to Slipknot, but at the same time, there's a very strong dose of positivity. Stone Sour is the same way. There's a certain melancholy that comes with the slower stuff, but at the end of the day there's also that other side that is very positive. It's all how you deliver.",Corey Taylor
It is good medicine to go to a concert hall and forget the harshness of what's going on. It can be a very positive thing.,Itzhak Perlman
"As an entrepreneur, I've come across countless articles and quotes proudly telling me that I should accept failure, smile, and keep my head up. In other words, I've been told to stay positive. The thing is, when you're forced to shut down a business and let really awesome people you care about go, staying positive is the last thing on your mind.",John Rampton
"Sometimes you can win, but you are not building something positive for your future.",Antonio Conte
I feel that losing both my legs was a blessing. It was meant to happen to me: I wouldn't have had the opportunity to touch so many lives in such a positive way.,Amy Purdy
"I think you can be depressed and flourish, I think you can have cancer and flourish, I think you can be divorced and flourish. When we believed that happiness was only smiling and good mood, that wasn't very good for people like me, people in the lower half of positive affectivity.",Martin Seligman
"There are good life skills to be had in the sport. It is a big positive to see young kids coming to the gym, training hard, looking up to the likes of David Tua, Shane Cameron, and possibly myself.",Joseph Parker
"Love is a positive, symbiotic, reciprocal flow between two or more entities.",Inga Muscio
I am not a big fan of positive thinking. The term suggests that there is something negative that you have to counteract by being positive. That is an artificial duality.,Srikumar Rao
"I'm into crystals and good energy and harnessing more. It's just like prayer. It helps you be grateful, think about good things, and keep that positive energy around you.",Kali Uchis
"If there is one positive takeaway from the collapse of Mt.Gox, it is the willingness of a new generation of Bitcoin companies to work together to ensure the future of Bitcoin and the security of customer funds.",Brian Armstrong
"It is true that you can't prove a negative. However, the existence of God is provable in the same way a building is positive proof that there was a builder.",Ray Comfort
"I am quite a positive person. I always try to see the good in every situation, the good in everybody.",Glenn McGrath
"GDP simply measures the circulation of money in the economy, not whether or not the outcome of using that money is positive or negative.",Caroline Lucas
"I try to keep it light and positive most of the time, whereas earlier on I didn't always do that.",Gordon Lightfoot
"While positive mental states may be associated with less stress and more resilience to infection, positive well-being might also be accompanied by a healthy lifestyle.",Michael Greger
"I always try and be as positive as I can and give people the benefit of the doubt because, in my own experience - seeing myself fall so hard so many times in my life and do so many things where I lost my way so many times - and then people didn't give up on me, like my husband and my family.",Beth Hart
"Donald's monstrosity is the manifestation of the very weakness within him that he's been running from his entire life. For him, there has never been any option but to be positive, to project strength, no matter how illusory, because doing anything else carries a death sentence; my father's short life is evidence of that.",Mary L. Trump
"My father said, '10 minus one is zero.' It means that even if you do good things 10 times, it is no use when you do some bad thing once. But it doesn't mean that I think I have positive image, so I always need to be careful about what I'm doing. I don't want to frame myself.",Park Bo-gum
It never gets old seeing somebody do something positive for somebody else.,Xzibit
"My husband believed 'the herb' was a natural and positive part of life, and he felt it was important to the world.",Rita Marley
"I would love to have a child. It would be great for me and such a positive message for all the girls out there who don't want to rush their life or their life has taken different a direction, like me who's put their career first.",Gemma Collins
"Too often, women are waiting for someone to recognise their great work and tap them on the shoulder and say, 'Here - this is the next thing we want you to do,' and that may happen. But I feel you need to take more ownership of telling your story, advocating for yourself. You can do it in a way that's positive and that your leaders will appreciate.",Lynne Doughtie
"I am pleased to say that I am not a tortured comedian - I laugh a lot. My twenties weren't particularly happy, but it's the same for a lot of people. In your thirties, you realise that your life and your worries are really insignificant, and you have to force yourself to be more positive and take each day as a gift.",Miranda Hart
"You want to try to play the game in a really good positive way, not just on the field but off the field as well in being a positive person and getting good vibes out to the community.",Israel Folau
The only reason to have a positive mental attitude is that it makes life better. It doesn't cure cancer.,Molly Ivins
I believe in human-centered AI to benefit people in positive and benevolent ways.,Fei-Fei Li
"Each season I find myself constantly inspired by 'The Biggest Loser' contestants. Their tenacity and willingness to learn new, healthy habits is tremendous and the results speak for themselves. I am honored to be part of such an inspiring program that helps inspire positive change in so many lives.",Curtis Stone
Something I've noticed as I get older is that I do think about the future more. It's all positive thinking.,Abbie Cornish
"Propaganda has a negative connotation, which it partially deserves, but I think there is some propaganda that is very positive. I feel that if you can do something that gets people's attention, then maybe they'll go and find out more about the person.",Shepard Fairey
"In a spiritual sense, a positive attitude may help you get through chemotherapy and surgery and radiation and what have you. But a positive mental attitude does not cure cancer - any more than a negative mental attitude causes cancer.",Siddhartha Mukherjee
"Actually creating a positive school climate, particularly in schools that are in communities that are themselves not calm and orderly, is hard work.","James Forman, Jr."
"Many persons swear by positive thinking, and quite a few have been helped by it. Nevertheless, it is not a very effective tool and can be downright harmful in some cases.",Srikumar Rao
"Stage fright is not a thing about 'Am I any good?' It's about 'Am I gonna be good tonight?' It's a right-now thing. It helps me. If I went out there thinkin', 'Eh, we'll go slaughter 'em,' I'm positive something would go seriously wrong.",Gregg Allman
"It's an important thing to have a relationship with the director, and have it be a positive one.",Trevor Rabin
"The exchange rate of the Rand against the dollar, pound or euro makes South Africa an attractive location. The positive side of this is it gives our artists and technicians an opportunity to work.",John Kani
I have always said that I do not pay much attention to what is said. Not to the positive and not to the negative.,Thomas Muller
"Guilt is just as powerful, but its influence is positive, while shame's is destructive. Shame erodes our courage and fuels disengagement.",Brene Brown
"I always say just stay positive. If you ever get down on yourself, try to find something that takes away that negative. Always find that positive area.",Kane Brown
"If I knew I was positive, why would I have ever gone to PAW to take a test?",Marc Wallice
"I'm very conscious of my body, and how I take care of it. I like clean foods, drink a lot of water, and soak up much sunlight and positive energy as I can.",Princess Nokia
The deaf community is hungry to see itself in the most positive way.,Lupe Ontiveros
"Every company has messy data, and even the best of AI companies are not fully satisfied with their data. If you have data, it is probably a good idea to get an AI team to have a look at it and give feedback. This can develop into a positive feedback loop for both the IT and AI teams in any company.",Andrew Ng
"Any time you can have an impact on anybody's life in a positive direction, to bring happiness to the community or a certain group of people, you don't take that lightly as a team, as a player.",Christian Yelich
"It's really important to always have a positive mind-set, no matter what people have been through.",Oti Mabuse
People often confuse a growth mindset with being flexible or open-minded or with having a positive outlook - qualities they believe they've simply always had. My colleagues and I call this a false growth mindset.,Carol S. Dweck
"I look at the NFL and see how the transition has gone at quarterback. I might be coming along at a good time. For me personally, this is about doing the same thing I've been doing at USF - just smile, have fun, enjoy the experience, keep a positive attitude and encourage my teammates. I like to feed off the people around me.",B. J. Daniels
"When families are strong and stable, so are children - showing higher levels of wellbeing and more positive outcomes. But when things go wrong - either through family breakdown or a damaged parental relationship - the impact on a child's later life can be devastating.",Iain Duncan Smith
"If I can inspire someone to go in a positive way and pursue a dream, it can only be good.",Parminder Nagra
"Positive energy is meant to give people confidence and hope, encourage people to love their country, society and life, as well as to pursue nice things. Everything we do is ultimately for the sake of spreading positive energy.",Lu Wei
