quotes,authors
Perpetual optimism is a force multiplier.,Colin Powell
There is no advertisement as powerful as a positive reputation traveling fast.,Brian Koslow
"You've done it before and you can do it now. See the positive possibilities. Redirect the substantial energy of your frustration and turn it into positive, effective, unstoppable determination.",Ralph Marston
"You learn far more from negative leadership than from positive leadership. Because you learn how not to do it. And, therefore, you learn how to do it.",Norman Schwarzkopf
"The learner always begins by finding fault, but the scholar sees the positive merit in everything.",Georg Wilhelm Friedrich Hegel
"If you are given a chance to be a role model, I think you should always take it because you can influence a person's life in a positive light, and that's what I want to do. That's what it's all about.",Tiger Woods
Every positive value has its price in negative terms... the genius of Einstein leads to Hiroshima.,Pablo Picasso
"When someone does something good, applaud! You will make two people happy.",Samuel Goldwyn
"Dream small dreams. If you make them too big, you get overwhelmed and you don't do anything. If you make small goals and accomplish them, it gives you the confidence to go on to higher goals.",John H. Johnson
"But I have found that in the simple act of living with hope, and in the daily effort to have a positive impact in the world, the days I do have are made all the more meaningful and precious. And for that I am grateful.",Elizabeth Edwards
"I'm taking all the negatives in my life, and turning them into a positive.",Pitbull
"So long as you've got your friends about you, and a good positive attitude, you don't really have to care what everyone else thinks.",Gail Porter
"I always like to look on the optimistic side of life, but I am realistic enough to know that life is a complex matter.",Walt Disney
"Look up, laugh loud, talk big, keep the color in your cheek and the fire in your eye, adorn your person, maintain your health, your beauty and your animal spirits.",William Hazlitt
"It's your outlook on life that counts. If you take yourself lightly and don't take yourself too seriously, pretty soon you can find the humor in our everyday lives. And sometimes it can be a lifesaver.",Betty White
"You must not under any pretense allow your mind to dwell on any thought that is not positive, constructive, optimistic, kind.",Emmet Fox
"Positive thinking is more than just a tagline. It changes the way we behave. And I firmly believe that when I am positive, it not only makes me better, but it also makes those around me better.",Harvey Mackay
A lot of times people look at the negative side of what they feel they can't do. I always look on the positive side of what I can do.,Chuck Norris
"Instead of hating, I have chosen to forgive and spend all of my positive energy on changing the world.",Camryn Manheim
"There are powers inside of you which, if you could discover and use, would make of you everything you ever dreamed or imagined you could become.",Orison Swett Marden
"Pessimism leads to weakness, optimism to power.",William James
I was determined to share my positive approach and not let diabetes stand in the way of enjoying my life.,Paula Deen
"Look at people for an example, but then make sure to do things your way. Surround yourself with positive people.",Queen Latifah
Miracles occur naturally as expressions of love. The real miracle is the love that inspires them. In this sense everything that comes from love is a miracle.,Marianne Williamson
Talking is always positive. That's why I talk too much.,Louis C. K.
"I believe in Karma. If the good is sown, the good is collected. When positive things are made, that returns well.",Yannick Noah
I was blessed with certain gifts and talents and God gave them to me to be the best person I can be and to have a positive impact on other people.,Bryan Clay
The way positive reinforcement is carried out is more important than the amount.,B. F. Skinner
"I hope to make a positive, productive contribution, as cheesy as that may sound.",Chelsea Clinton
"Fortune cookies are a good idea. If the message is positive, it can make your day a little better.",Yao Ming
"When push comes to shove, it ain't the science that's going to lift you up - it's the belief, the spiritual side of life, that's going to lift you up, no matter what religion you are.",Kirstie Alley
"You can't make positive choices for the rest of your life without an environment that makes those choices easy, natural, and enjoyable.",Deepak Chopra
I am not embarrassed to tell you that I believe in miracles.,Corazon Aquino
Even when bad things happen you have to try to use those bad things in a positive manner and really just take the positive out of it.,Natalie du Toit
I believe that you should gravitate to people who are doing productive and positive things with their lives.,Nadia Comaneci
Winners make a habit of manufacturing their own positive expectations in advance of the event.,Brian Tracy
Sometimes the most positive thing you can be in a boring society is absolutely negative.,John Lydon
"Chaotic people often have chaotic lives, and I think they create that. But if you try and have an inner peace and a positive attitude, I think you attract that.",Imelda Staunton
"When I learn something new - and it happens every day - I feel a little more at home in this universe, a little more comfortable in the nest.",Bill Moyers
"As long as you as an individual... can convince yourself that in order to move forward as best you can you have to be optimistic, you can be described as 'one of the faithful,' one of those people who can say, 'Well, look, something's going to happen! Let's just keep trying. Let's not give up.",Tom Hanks
Our chief want is someone who will inspire us to be what we know we could be.,Ralph Waldo Emerson
The gift of fantasy has meant more to me than my talent for absorbing positive knowledge.,Albert Einstein
"I feel that sin and evil are the negative part of you, and I think it's like a battery: you've got to have the negative and the positive in order to be a complete person.",Dolly Parton
I've always believed that you can think positive just as well as you can think negative.,James Baldwin
"So there was a fire inside me. And that fire inside you, it can be turned into a negative form or a positive form. And I gradually realised that I had this fire and that it had to be used in a positive way.",John Newcombe
"Your destiny is to fulfill those things upon which you focus most intently. So choose to keep your focus on that which is truly magnificent, beautiful, uplifting and joyful. Your life is always moving toward something.",Ralph Marston
"First of all, I try to be a positive role model.",Caitlyn Jenner
I don't want to waste anyone's time or money. I want to give people some truth and positive heart lift.,Mos Def
The most positive men are the most credulous.,Alexander Pope
"There is a sense that things, if you keep positive and optimistic about what can be done, do work out.",Hillary Clinton
"Satisfaction consists in freedom from pain, which is the positive element of life.",Arthur Schopenhauer
"There is only one thing for us to do, and that is to do our level best right where we are every day of our lives; To use our best judgment, and then to trust the rest to that Power which holds the forces of the universe in his hands.",Orison Swett Marden
"You shall always find what you created in your mind, for instance, a benevolent God or an evil Devil. Between them are countless facets. Therefore, concentrate on the depth of your consciousness and on what you consider to be positive and good.",Hans Bender
"Having achieved my own dreams, I want to give to kids who are less fortunate, who struggle with everyday obstacles. I want to give them something positive in their lives: support.",Kristi Yamaguchi
You have to listen to the people who have a negative opinion as well as those who have positive opinion. Just to make sure that you are blending all these opinions in your mind before a decision is made.,Carlos Ghosn
"If it's great stuff, the people who consume it are nourished. It's a positive force.",Manuel Puig
"Some people never contribute anything positive to society, they may even drain our resources, but most of us try to do something better, to give back.",Martin Yan
"I'm totally into new age and self-help books. I used to work in a bookstore and that's the section they gave me, and I got way into it. I just loved the power of positive thinking, letting yourself go.",Jason Mraz
"Wondrous is the strength of cheerfulness, and its power of endurance - the cheerful man will do more in the same time, will do it; better, will preserve it longer, than the sad or sullen.",Thomas Carlyle
"A year or so ago I went through all the people in my life and asked myself: does this person inspire me, genuinely love me and support me unconditionally? I wanted nothing but positive influences in my life.",Mena Suvari
"Like success, failure is many things to many people. With Positive Mental Attitude, failure is a learning experience, a rung on the ladder, a plateau at which to get your thoughts in order and prepare to try again.",W. Clement Stone
"And I have to work so hard at talking positively to myself. If I don't, it's just real hard to get through the day, and I'll get really down, and just want to cry. My whole body language changes. I get more slumped over.",Delta Burke
A mediocre idea that generates enthusiasm will go further than a great idea that inspires no one.,Mary Kay Ash
Excellence encourages one about life generally; it shows the spiritual wealth of the world.,George Eliot
Perhaps one of the only positive pieces of advice that I was ever given was that supplied by an old courtier who observed: Only two rules really count. Never miss an opportunity to relieve yourself; never miss a chance to sit down and rest your feet.,Edward VIII
A President cannot always be popular.,Harry S Truman
"I really struggle with that feeling of helplessness. That's why I really try to get my blogs, and even myself, to point to the positive and look at all the inspiring things that are happening.",Daryl Hannah
"Where men of judgment creep and feel their way, The positive pronounce without dismay.",William Cowper
"I am fascinated by what is beautiful, strong, healthy, what is living. I seek harmony.",Leni Riefenstahl
A positive attitude can really make dreams come true - it did for me.,David Bailey
Don't forget to tell yourself positive things daily! You must love yourself internally to glow externally.,Hannah Bronfman
"In times of great stress or adversity, it's always best to keep busy, to plow your anger and your energy into something positive.",Lee Iacocca
"A positive attitude causes a chain reaction of positive thoughts, events and outcomes. It is a catalyst and it sparks extraordinary results.",Wade Boggs
Choosing to be positive and having a grateful attitude is going to determine how you're going to live your life.,Joel Osteen
"I think it's important to get your surroundings as well as yourself into a positive state - meaning surround yourself with positive people, not the kind who are negative and jealous of everything you do.",Heidi Klum
Positive energy and attitude is sexy to me.,Mya
"Successful people maintain a positive focus in life no matter what is going on around them. They stay focused on their past successes rather than their past failures, and on the next action steps they need to take to get them closer to the fulfillment of their goals rather than all the other distractions that life presents to them.",Jack Canfield
Your positive action combined with positive thinking results in success.,Shiv Khera
"Stay positive and happy. Work hard and don't give up hope. Be open to criticism and keep learning. Surround yourself with happy, warm and genuine people.",Tena Desae
"At the end of the day, the most overwhelming key to a child's success is the positive involvement of parents.",Jane D. Hull
I surround myself with good people who make me feel great and give me positive energy.,Ali Krieger
"A lot of things are going to happen that you can't necessarily control all the time, but you can control what you do after it happens. So that's what I try to do, keep my head up, keep moving forward, stay positive and just work hard.",Lonzo Ball
"Inspiration comes from within yourself. One has to be positive. When you're positive, good things happen.",Deep Roy
"When you think positive, good things happen.",Matt Kemp
Love yourself. It is important to stay positive because beauty comes from the inside out.,Jenn Proske
"Don't focus on negative things; focus on the positive, and you will flourish.",Alek Wek
"I am happy every day, because life is moving in a very positive way.",Lil Yachty
I always feel good after I change my hair. You get a haircut and feel positive and ready to take on the day.,Kirstin Maldonado
Adopting the right attitude can convert a negative stress into a positive one.,Hans Selye
"Exercise, prayer, and meditation are examples of calming rituals. They have been shown to induce a happier mood and provide a positive pathway through life's daily frustrations.",Chuck Norris
"While you're going through this process of trying to find the satisfaction in your work, pretend you feel satisfied. Tell yourself you had a good day. Walk through the corridors with a smile rather than a scowl. Your positive energy will radiate. If you act like you're having fun, you'll find you are having fun.",Jean Chatzky
What you feel inside reflects on your face. So be happy and positive all the time.,Sridevi
"Doing Good is a simple and universal vision. A vision to which each and every one of us can connect and contribute to its realisation. A vision based on the belief that by doing good deeds, positive thinking and affirmative choice of words, feelings and actions, we can enhance goodness in the world.",Shari Arison
"I'm not sure what the future holds but I do know that I'm going to be positive and not wake up feeling desperate. As my dad said 'Nic, it is what it is, it's not what it should have been, not what it could have been, it is what it is.'",Nicole Kidman
Stop saying these negative things about yourself. Look in the mirror and find something about yourself that's positive and celebrate that!,Tyra Banks
"Life is short, youth is finite, and opportunities endless. Have you found the intersection of your passion and the potential for world-shaping positive impact? If you don't have a great idea of your own, there are plenty of great teams that need you - unknown startups and established teams in giant companies alike.",Justin Rosenstein
Having a positive mental attitude is asking how something can be done rather than saying it can't be done.,Bo Bennett
"I'm self-motivated. I'm motivated for myself to be the best I can be - for me to do that, I have to have my own motivation, my own positive energy.",Deshaun Watson
A strong positive mental attitude will create more miracles than any wonder drug.,Patricia Neal
"I think that life is difficult. People have challenges. Family members get sick, people get older, you don't always get the job or the promotion that you want. You have conflicts in your life. And really, life is about your resilience and your ability to go through your life and all of the ups and downs with a positive attitude.",Jennifer Hyman
"Things don't always go your way in football: there are always good and bad times. At the end of the day, you have to have a positive attitude and a strong mentality and not let any setbacks get you down. And that's what I've done - I've tried to keep my composure, even when things aren't going the way I'd like.",Giovani Dos Santos
"Be true to yourself and surround yourself with positive, supportive people.",Payal Kadakia
"The internet could be a very positive step towards education, organisation and participation in a meaningful society.",Noam Chomsky
"One day, I will tell my story... where I came from and where I am now and how I remained positive.",Nargis Fakhri
"Being sexy, to me, is possessing the full package: the brains, the drive, inner confidence, spiritual foundation, a positive attitude, proceeding through obstacles, making a positive contribution to the world, and maintaining a healthy lifestyle.",Mya
God never ends anything on a negative; God always ends on a positive.,Edwin Louis Cole
All I can control is myself and just keep having a positive attitude.,Rose Namajunas
"We are constituted so that simple acts of kindness, such as giving to charity or expressing gratitude, have a positive effect on our long-term moods. The key to the happy life, it seems, is the good life: a life with sustained relationships, challenging work, and connections to community.",Paul Bloom
"The more you are positive and say, 'I want to have a good life,' the more you build that reality for yourself by creating the life that you want.",Chris Pine
"Each day, I come in with a positive attitude, trying to get better.",Stefon Diggs
"In every day, there are 1,440 minutes. That means we have 1,440 daily opportunities to make a positive impact.",Les Brown
"There must be a positive and negative in everything in the universe in order to complete a circuit or circle, without which there would be no activity, no motion.",John McDonald
"I'm a pretty positive person, so a bad mood is quite a big deal.",Karla Crome
"Being positive is like going up a mountain. Being negative is like sliding down a hill. A lot of times, people want to take the easy way out, because it's basically what they've understood throughout their lives.",Chuck D
It doesn't matter what cards you're dealt. It's what you do with those cards. Never complain. Just keep pushing forward. Find a positive in anything and just fight for it.,Baker Mayfield
"My wife Cecily Adams was dying of cancer, my daughter Madeline was struggling to overcome an autism diagnosis, and my father was dying, all at the same time. Writing the journal was a cathartic experience, and an extremely positive one.",Jim Beaver
Resist your fear; fear will never lead to you a positive end. Go for your faith and what you believe.,T. D. Jakes
The worst times can be the best if you think with positive energy.,Domenico Dolce
We should learn not to hold grudges and be positive all the time because life is too short and unpredictable.,Saba Qamar
"I'm a very positive thinker, and I think that is what helps me the most in difficult moments.",Roger Federer
Most of us start out with a positive attitude and a plan to do our best.,Marilu Henner
"You will always have ups and downs in your life and your career, but just stay positive and go for it.",Angelique Kerber
I believe I have a personal responsibility to make a positive impact on society.,Anthony Fauci
"I'm a really, really optimistic and really, really positive person. My main thing is, 'Enjoy life. Celebrate life.'",Luke Bryan
"For me, life is about being positive and hopeful, choosing to be joyful, choosing to be encouraging, choosing to be empowering.",Billy Porter
"Putting forward your positive energy connects you back to basic human values which we all share. Good Deeds Day shows that no matter the size of the gesture, a smile that brightens someone else's day or volunteering in your community, we can all take active part in making a difference.",Shari Arison
"Positive thinking is a valuable tool that can help you overcome obstacles, deal with pain, and reach new goals.",Amy Morin
"When you assume negative intent, you're angry. If you take away that anger and assume positive intent, you will be amazed. Your emotional quotient goes up because you are no longer almost random in your response.",Indra Nooyi
"Life is full of ups and downs. One needs to stay positive in life, no matter what.",Shilpa Shinde
Everything has positive and negative consequences.,Farrah Fawcett
"Resilience isn't a single skill. It's a variety of skills and coping mechanisms. To bounce back from bumps in the road as well as failures, you should focus on emphasizing the positive.",Jean Chatzky
"I've come to understand that there's always something positive, even in a negative situation.",Leif Garrett
"Positive energy knows no boundaries. If everyone were to spread positive energy on the Internet, the world would be a much better place.",Lu Wei
"I am happy to say that everyone that I have met in my life, I have gained something from them; be it negative or positive, it has enforced and reinforced my life in some aspect.",Walter Payton
"If you have a positive frame of mind, you can manifest positive things in your life.",Alesha Dixon
My favorite parable for living a positive and influential life is the Golden Rule: 'Do unto others what you would have them do unto you.',Tony Oller
How do you nurture a positive attitude when all the statistics say you're a dead man? You go to work.,Patrick Swayze
"I'm a very positive person. My grandmother taught me that happiness is both a skill and a decision, and you are responsible for the outcome.",Helen McCrory
"We are all products of our experiences, good and bad. Sometimes you learn as much from the negative experiences as you do from the positive.",Brad Garlinghouse
Negative attitude is nine times more powerful than positive attitude.,Bikram Choudhury
"If I can be some kind of vessel to show people that, no matter the hard time you experienced, you can still succeed, I want to put out that positive energy to never quit and never give up.",Brian Banks
"Good things are associated with blue, like clear days, more than singing the blues. Just the word 'blue' in the singular is full of optimism and positive connotation to most people.",David Carson
"The thing that lies at the foundation of positive change, the way I see it, is service to a fellow human being.",Lech Walesa
"I realized that if my thoughts immediately affect my body, I should be careful about what I think. Now if I get angry, I ask myself why I feel that way. If I can find the source of my anger, I can turn that negative energy into something positive.",Yoko Ono
"African art is functional, it serves a purpose. It's not a dormant. It's not a means to collect the largest cheering section. It should be healing, a source a joy. Spreading positive vibrations.",Mos Def
You can't live a positive life with a negative mind and if you have a positive outcome you have a positive income and just to have more positivity and just to kind of laugh it off.,Miley Cyrus
"I've always followed my heart and pursued my dreams, and I imagine that people find that inspiring. I hope that is the effect I have on my fans and people in general. I definitely want to project a positive energy out into the world.",Britney Spears
The true mark of professionalism is the ability to respect everyone else for their styles and always find something positive in every dining experience and highlight it in your thoughts and words.,Johnny Iuzzini
"I will keep smiling, be positive and never give up! I will give 100 percent each time I play. These are always my goals and my attitude.",Yani Tseng
"There is little difference in people, but that little difference makes a big difference. The little difference is attitude. The big difference is whether it is positive or negative.",W. Clement Stone
My house is a very calm and beautiful place and is full of positive energy.,Chris de Burgh
"Drones overall will be more impactful than I think people recognize, in positive ways to help society.",Bill Gates
"People who talk about revolution and class struggle without referring explicitly to everyday life, without understanding what is subversive about love and what is positive in the refusal of constraints, such people have a corpse in their mouth.",Raoul Vaneigem
"New technologies and approaches are merging the physical, digital, and biological worlds in ways that will fundamentally transform humankind. The extent to which that transformation is positive will depend on how we navigate the risks and opportunities that arise along the way.",Klaus Schwab
"It's amazing. Life changes very quickly, in a very positive way, if you let it.",Lindsey Vonn
"If we give something positive to others, it will return to us. If we give negative, that negativity will be returned.",Allu Arjun
Surround yourself with positive people and you'll be a positive person.,Kellie Pickler
"A positive atmosphere nurtures a positive attitude, which is required to take positive action.",Richard M. DeVos
We have a duty to show up in the world with meaning and purpose and commitment to doing good. And to use any privilege that we have to make positive change and to disrupt oppressive systems.,Meena Harris
"Our thoughts are mainly controlled by our subconscious, which is largely formed before the age of 6, and you cannot change the subconscious mind by just thinking about it. That's why the power of positive thinking will not work for most people. The subconscious mind is like a tape player. Until you change the tape, it will not change.",Bruce Lipton
"Frustration, although quite painful at times, is a very positive and essential part of success.",Bo Bennett
Better to be called something positive and inspirational than something negative.,Donnie Yen
"Winning is fun, but those moments that you can touch someone's life in a very positive way are better.",Tim Howard
"By nature, I'm a very positive person, and because I'm happy in myself, and in my life, and I've got a great husband, and beautiful children, and I have a job that I love that calls for a certain amount of emotional expression, I get to realise a lot of my dreams and aspirations.",Kate Winslet
"If you look at the history of technology over a couple hundred years, it's all about time compression and making the globe smaller. It's had positive effects, all the ones that we know. So we're much less likely to have the kind of terrible misunderstandings that led to World War I, for example.",Eric Schmidt
"When you show deep empathy toward others, their defensive energy goes down, and positive energy replaces it. That's when you can get more creative in solving problems.",Stephen Covey
Men are liars. We'll lie about lying if we have to. I'm an algebra liar. I figure two good lies make a positive.,Tim Allen
Why be negative when you can enjoy life and be positive? That's something I learned over the years.,Virgil van Dijk
"Anything that's not positive, I don't have the energy to focus on it. Anything that's not going in the right direction, I don't have the time or the energy.",DMX
I really believe in the 'Glow' and live my life that way. It's about being positive inside and out and being the best version of yourself possible.,Naomi
"I truly believe in positive synergy, that your positive mindset gives you a more hopeful outlook, and belief that you can do something great means you will do something great.",Russell Wilson
"If you don't like me, if you like me; both are equally cool. I send love and positive energy to all those people in their lives. I hope they find where they're meant to be.",Willow Smith
"I don't think of myself as a role model. I do try to live in a compassionate, considerate and positive way. The only advice I can offer is to find what you love to do, find the joy in it, and express yourself through your passion.",Barry Williams
I think it takes a strong man to be in a relationship with a strong woman. A lot of people hear the word 'diva' and think of it as a negative. I see it as a positive. I want somebody who knows what they want out of life and isn't afraid to show it.,Nick Cannon
"People will try to pull you down, but you need to fight the negativity in your life. It's always good to stay positive and think positive.",Vivek Oberoi
"I truly believe the intention of creating positive change is so important to the collective consciousness. When you have a group of people that have the intention and the capacity, talent, and intelligence to actualize those intentions, then you have something really powerful.",Jimmy Chin
It's amazing how a competitive nature can turn a negative into something positive.,Barry Mann
I think the big thing is keeping positive energy in the clubhouse. The amount of time we spend in there and spend together carries over into what you do on the field.,Matt Harvey
"To me, it doesn't matter how good you are. Sport is all about playing and competing. Whatever you do in cricket and in sport, enjoy it, be positive and try to win.",Ian Botham
Only fools are positive.,Moe Howard
"I am suggesting that as we go through life, we 'accentuate the positive.' I am asking that we look a little deeper for the good, that we still our voices of insult and sarcasm, that we more generously compliment and endorse virtue and effort.",Gordon B. Hinckley
"Natural ability is important, but you can go far without it if you have the focus, drive, desire and positive attitude.",Kirsten Sweetland
"A stereotype may be negative or positive, but even positive stereotypes present two problems: They are cliches, and they present a human being as far more simple and uniform than any human being actually is.",Nancy Kress
I have learned that champions aren't just born; champions can be made when they embrace and commit to life-changing positive habits.,Lewis Howes
"Nietzsche should not be taken seriously as a political theorist, at least not at the level of his positive prescriptions. But the Nietzsche who denounces the insipidity and mediocrity that result from democracy's levelling impulses could not be more acute.",Mark Fisher
"Make a Goal Box, a chart of positive daily contact with a family when you are working with them.",Richard G. Scott
"I'm the kind of person who doesn't really focus on more negativity. I'm a positive person, and I look at things in a positive way.",Caster Semenya
"There's sadness to anyone that dies before their time, and specifically ones that seem to affect people in a positive way. It doesn't matter if it's Whitney Houston or a nameless, faceless person on the street. That's just as big of a tragedy for me.",Chris Cornell
"I think anytime you can affect people in general, in a positive way, then you're a lucky individual.",Sam Elliott
"True health infuses positive energy in the mind, body and spirit; it is a main focus in my life.",Maximillian Degenerez
"Building mental strength is about regulating your emotions, managing your thoughts, and behaving in a positive manner, despite your circumstances.",Amy Morin
Virtually nothing is impossible in this world if you just put your mind to it and maintain a positive attitude.,Lou Holtz
I will always find a way to find a positive from things.,Daniel Ricciardo
"Social media websites are no longer performing an envisaged function of creating a positive communication link among friends, family and professionals. It is a veritable battleground, where insults fly from the human quiver, damaging lives, destroying self-esteem and a person's sense of self-worth.",Anthony Carmona
"My mother taught me to be honest, to be selfless, and to touch people in a positive way.",Scott Eastwood
"We feel pressure from every angle to meet expectations, but the pressure also pushes us in a positive was as well.",Momo Hirai
"If things aren't going so well, I try to stay positive and not give in to negative thoughts.",Rosanna Arquette
I really believe in positive energy and positive thinking and dreams and all that type of stuff.,Michael Sorrentino
"Strong women, when respected, make the whole society stronger. One must be careful with such rapid changes, though, and make an effort to preserve, at the same time, the positive traditions of Indian culture.",Chitra Banerjee Divakaruni
"You have to enjoy life. Always be surrounded by people that you like, people who have a nice conversation. There are so many positive things to think about.",Sophia Loren
"It's important to think good, speak good, and do good. If we want to see positive change in the world, then we need to connect to goodness. I try in everything I do, both in business and philanthropy, to make a positive change and do that by doing good.",Shari Arison
"Confidence isn't optimism or pessimism, and it's not a character attribute. It's the expectation of a positive outcome.",Rosabeth Moss Kanter
"The basis for all human relationships and where we derive our greatest strength and power, trust is single-handedly the most powerful source of positive energy and, once in place, unlocks a freedom and peace to explore.",Angela Ahrendts
"Adopting a really positive attitude can work wonders to adding years to your life, a spring to your step, a sparkle to your eye, and all of that.",Christie Brinkley
"I have a positive mental attitude, and I think I'm divine, but I also think it takes a heck of a lot of blood, sweat and tears.",Steve Prefontaine
Life is measured in love and positive contributions and moments of grace.,Carly Fiorina
"Whatever you wanna be, just, at the end of the day, if you're being a good person, which is not hard to be, and you're putting positive energy into the world, and you're appreciative and loving to the people around you that care about you and everybody in general, then it'll work out.",Gnash
"It's easy to get negative because you get beat down. You go through a few disappointments and it's easy to stay in that negative frame of mind. Choosing to be positive and having a grateful attitude is a whole cliche, but your attitude is going to determine how you're going to live your life.",Joel Osteen
"Our biggest learnings come only from the biggest blows, hence, I'd request one and all to look out for the silver linings and focus on positive thoughts and ideas, because as I always say, every cloud has a silver lining, and every sunset ends with a beautiful sunrise.",Rituparna Sengupta
It's almost always possible to be honest and positive.,Naval Ravikant
"Take stock of your thoughts and behavior. Each night ask yourself, when were you negative when you could have been positive? When did you withhold love when you might have given it? When did you play a neurotic game instead of behaving in a powerful way? Use this process to self-correct.",Marianne Williamson
"To me, people are going to judge you no matter what, no matter how you put yourself out there. In my opinion, they can judge however they want to. Hopefully, it's in a positive light.",Michelle Waterson
